date,ticker,name
2018-05-04,ROAD,"Construction Partners, Inc."
2018-05-04,STXB,"Spirit of Texas Bancshares, Inc."
2018-05-09,EVLO,"Evelo Biosciences, Inc."
2018-05-09,OBNK,"Origin Bancorp, Inc."
2018-05-10,EQH,"Equitable Holdings, Inc."
2018-05-11,HUYA,HUYA Inc.
2018-05-17,PS,"Pluralsight, Inc."
2018-05-23,EVOP,"EVO Payments, Inc."
2018-05-24,CLPS,CLPS Inc
2018-05-24,GSKY,"GreenSky, Inc."
2018-05-24,KNSA,"Kiniksa Pharmaceuticals International, plc"
2018-05-24,SRRK,Scholar Rock Holding Corp
2018-05-25,ITRM,Iterum Therapeutics plc
2018-05-31,HJLI,enVVeno Medical Corp
2018-06-01,AMBO,Ambow Education Holding Ltd.
2018-06-08,MGTX,MeiraGTx Holdings plc
2018-06-14,CHRA,"Charah Solutions, Inc."
2018-06-14,USX,US XPRESS ENTERPRISES INC
2018-06-15,VRCA,Verrica Pharmaceuticals Inc.
2018-06-20,EIDX,"Eidos Therapeutics, Inc."
2018-06-21,APTX,Aptinyx Inc.
2018-06-21,AVRO,"Tectonic Therapeutic, Inc."
2018-06-21,EPRT,"ESSENTIAL PROPERTIES REALTY TRUST, INC."
2018-06-21,IIIV,"i3 Verticals, Inc."
2018-06-21,MGTA,"Dianthus Therapeutics, Inc. /DE/"
2018-06-21,XERS,XERIS PHARMACEUTICALS INC
2018-06-22,AUTL,Autolus Therapeutics plc
2018-06-26,GLDM,World Gold Trust
2018-06-27,HYRE,"HC LIQUIDATING, INC."
2018-06-27,LOVE,Lovesac Co
2018-06-27,NTGN,"Neon Therapeutics, Inc."
2018-06-27,UXIN,Uxin Ltd
2018-06-28,BJ,"BJ's Wholesale Club Holdings, Inc."
2018-06-28,BV,"BrightView Holdings, Inc."
2018-06-28,ENTX,Entera Bio Ltd.
2018-06-28,FTSV,"Forty Seven, Inc."
2018-06-28,STIM,"Neuronetics, Inc."
2018-06-28,TBIO,"Translate Bio, Inc."
2018-06-28,TCDA,"Tricida, Inc."
2018-06-29,DOMO,"DOMO, INC."
2018-07-18,CCB,COASTAL FINANCIAL CORP
2018-07-18,CRNX,"Crinetics Pharmaceuticals, Inc."
2018-07-18,RUBY,"Rubius Therapeutics, Inc."
2018-07-19,ALLK,Allakos Inc.
2018-07-19,CNST,CONSTELLATION PHARMACEUTICALS INC
2018-07-19,ESTA,ESTABLISHMENT LABS HOLDINGS INC.
2018-07-19,TLRY,"Tilray Brands, Inc."
2018-07-20,REPL,"Replimune Group, Inc."
2018-07-24,PRVB,"Provention Bio, Inc."
2018-07-25,AQST,"Aquestive Therapeutics, Inc."
2018-07-25,BE,Bloom Energy Corp
2018-07-26,BRY,Berry Corp (bry)
2018-07-26,CANG,Cango Inc.
2018-07-26,FOCS,Focus Financial Partners Inc.
2018-07-26,JG,Aurora Mobile Ltd
2018-07-26,LQDA,Liquidia Technologies Inc
2018-07-26,PDD,PDD Holdings Inc.
2018-07-26,TENB,"Tenable Holdings, Inc."
2018-07-27,ADIL,"ADIAL PHARMACEUTICALS, INC."
2018-07-27,DAVA,Endava plc
2018-07-27,OPRA,Opera Ltd
2018-07-27,WISA,Datavault AI Inc.
2018-08-02,CWK,Cushman & Wakefield Ltd.
2018-08-02,SONO,Sonos Inc
2018-08-03,ARLO,"Arlo Technologies, Inc."
2018-08-09,PCB,PCB BANCORP
2018-08-09,VCNX,"VACCINEX, INC."
2018-08-10,MESA,REPUBLIC AIRWAYS HOLDINGS INC.
2018-08-14,ARDS,"Aridis Pharmaceuticals, Inc."
2018-08-17,SFET,Alarum Technologies Ltd.
2018-09-12,NIO,NIO Inc.
2018-09-12,YI,"111, Inc."
2018-09-14,FVCB,"FVCBankcorp, Inc."
2018-09-14,PRNB,Principia Biopharma Inc.
2018-09-14,QTT,Qutoutiao Inc.
2018-09-19,XYF,X Financial
2018-09-20,BSVN,Bank7 Corp.
2018-09-20,EB,"Eventbrite, Inc."
2018-09-20,ELAN,Elanco Animal Health Inc
2018-09-21,FTCH,Farfetch Ltd
2018-09-21,YMAB,"Y-mAbs Therapeutics, Inc."
2018-09-25,VIOT,"Viomi Technology Co., Ltd"
2018-09-26,ARCE,Arco Platform Ltd.
2018-09-26,CBNK,Capital Bancorp Inc
2018-09-26,ETTX,Entasis Therapeutics Holdings Inc.
2018-09-26,SVMK,MOMENTIVE GLOBAL INC.
2018-09-27,ARVN,"ARVINAS, INC."
2018-09-27,LAIX,LAIX Inc.
2018-09-27,RMED,"Catheter Precision, Inc."
2018-09-27,STRO,"SUTRO BIOPHARMA, INC."
2018-09-27,UROV,Urovant Sciences Ltd.
2018-09-28,CTK,CooTek(Cayman)Inc.
2018-09-28,GRTS,"Gritstone bio, Inc."
2018-10-03,UPWK,"UPWORK, INC"
2018-10-04,GH,"Guardant Health, Inc."
2018-10-04,KOD,Kodiak Sciences Inc.
2018-10-05,ESTC,Elastic N.V.
2018-10-11,ALLO,"Allogene Therapeutics, Inc."
2018-10-11,LTHM,Livent Corp.
2018-10-12,EQ,"Equillium, Inc."
2018-10-12,PLAN,"Anaplan, Inc."
2018-10-17,SIBN,"SI-BONE, Inc."
2018-10-18,MSC,STUDIO CITY INTERNATIONAL HOLDINGS Ltd
2018-10-18,OSMT,RVL Pharmaceuticals plc
2018-10-18,PHAS,PhaseBio Pharmaceuticals Inc
2018-10-19,LOGC,"LogicBio Therapeutics, Inc."
2018-10-19,SWI,SolarWinds Corp
2018-10-25,PT,J & Friends Holdings Ltd
2018-10-25,STNE,StoneCo Ltd.
2018-10-25,YETI,"YETI Holdings, Inc."
2018-10-26,GMDA,Gamida Cell Ltd.
2018-10-31,AXNX,"Axonics, Inc."
2018-10-31,ORTX,Orchard Therapeutics plc
2018-10-31,TWST,Twist Bioscience Corp
2018-11-07,CNF,CNFinance Holdings Ltd.
2018-11-13,ETON,"Eton Pharmaceuticals, Inc."
2018-11-14,VAPO,VAPOTHERM INC
2018-11-15,WEI,Weidai Ltd.
2018-11-20,TC,Token Cat Ltd
2018-11-20,TLSA,Tiziana Life Sciences Ltd
2018-11-21,TLC,"Taiwan Liposome Company, Ltd."
2018-12-07,DMAC,DiaMedica Therapeutics Inc.
2018-12-07,MRNA,"Moderna, Inc."
2018-12-12,TME,Tencent Music Entertainment Group
2018-12-14,LEGH,Legacy Housing Corp
2018-12-14,QFIN,"Qfin Holdings, Inc."
2018-12-18,APM,Aptorum Group Ltd
2018-12-19,AMTB,Amerant Bancorp Inc.
2018-12-27,PHCF,"Puhui Wealth Investment Management Co., Ltd."
2019-01-04,SXTC,"China SXT Pharmaceuticals, Inc."
2019-01-08,MDJH,MDJM LTD
2019-01-08,MTC,"MMTEC, INC."
2019-01-31,NFE,New Fortress Energy Inc.
2019-02-04,INMB,"Inmune Bio, Inc."
2019-02-07,ALEC,"Alector, Inc."
2019-02-08,GOSS,"Gossamer Bio, Inc."
2019-02-08,HARP,"Harpoon Therapeutics, Inc."
2019-02-12,ANCN,Chemomab Therapeutics Ltd.
2019-02-13,IMAC,"IMAC Holdings, Inc."
2019-02-15,HOTH,Rocket One Inc.
2019-02-15,MITO,Stealth BioTherapeutics Corp
2019-02-19,SOLY,"Soliton, Inc."
2019-02-26,SLGG,"Super League Enterprise, Inc."
2019-02-28,KLDO,"Kaleido Biosciences, Inc."
2019-03-07,SWAV,"ShockWave Medical, Inc."
2019-03-08,FHL,Futu Holdings Ltd
2019-03-21,LEVI,LEVI STRAUSS & CO
2019-03-27,GNFT,Genfit S.A.
2019-03-28,DTIL,PRECISION BIOSCIENCES INC
2019-03-28,WTRE,Watford Holdings Ltd.
2019-03-29,LYFT,"Lyft, Inc."
2019-03-29,PUYI,Maase Inc.
2019-04-02,PBTS,"X3 Holdings Co., Ltd."
2019-04-03,RUHN,Ruhnn Holding Ltd
2019-04-04,NGM,NGM BIOPHARMACEUTICALS INC
2019-04-04,SILK,Silk Road Medical Inc
2019-04-05,GHSI,"Guardion Health Sciences, Inc."
2019-04-11,PD,"PagerDuty, Inc."
2019-04-11,TUFN,Tufin Software Technologies Ltd.
2019-04-12,JMIA,Jumia Technologies AG
2019-04-17,BWAY,Brainsway Ltd.
2019-04-17,TPTX,"Turning Point Therapeutics, Inc."
